time, tp_a, tp_b, diff

0,0.14,0.12,0.02
1,0.12,0.11,0.01
2,0.13,0.12,0.01
3,0.12,0.12,0.0
8,0.12,0.12,0.0
26,0.13,0.11,0.02
46,0.13,0.11,0.01
66,0.13,0.11,0.01
86,0.13,0.11,0.02
105,0.12,0.11,0.01
126,0.13,0.12,0.0
147,0.12,0.12,0.0
167,0.12,0.12,0.0
189,0.13,0.14,-0.01
210,0.11,0.12,-0.01
232,0.14,0.12,0.02
253,0.11,0.11,0.0
274,0.13,0.12,0.0
294,0.12,0.13,-0.01
316,0.14,0.11,0.02
337,0.13,0.11,0.01
358,0.12,0.11,0.01
378,0.13,0.11,0.01
400,0.12,0.12,0.0
420,0.13,0.12,0.0
441,0.12,0.12,0.0
462,0.12,0.12,0.0
483,0.13,0.12,0.01
503,0.13,0.11,0.01
525,0.13,0.11,0.02
545,0.12,0.12,0.0
566,0.12,0.12,0.0
587,0.13,0.11,0.01
608,0.12,0.11,0.01
628,0.12,0.12,-0.0
650,0.14,0.12,0.01
671,0.12,0.11,0.01
692,0.12,0.1,0.01
712,0.13,0.12,0.01
734,0.12,0.12,0.0
754,0.12,0.11,0.01
775,0.13,0.11,0.01
796,0.12,0.12,0.0
817,0.11,0.11,0.0
837,0.13,0.11,0.01
859,0.12,0.12,0.0
879,0.11,0.12,-0.0
901,0.12,0.11,0.01
922,0.12,0.11,0.01
943,0.14,0.11,0.02
963,0.12,0.12,0.0
985,0.12,0.12,0.0
1005,0.13,0.11,0.02
1027,0.12,0.12,0.0
1048,0.12,0.12,0.0
1071,0.12,0.11,0.01
1092,0.13,0.13,0.0
1114,0.13,0.11,0.02
1136,0.13,0.12,0.0
1158,0.12,0.12,0.0
1179,0.13,0.11,0.01
1202,0.11,0.12,-0.01
1224,0.11,0.12,-0.0
1247,0.13,0.12,0.0
1269,0.13,0.11,0.02
1291,0.12,0.12,0.0
1312,0.14,0.11,0.02
1335,0.12,0.12,0.0
1356,0.12,0.12,0.0
1378,0.14,0.11,0.02
1400,0.13,0.11,0.02
1422,0.12,0.12,0.0
1443,0.12,0.11,0.0
1466,0.13,0.12,0.0
1487,0.12,0.12,0.0
1509,0.12,0.11,0.0
1531,0.11,0.12,-0.0
1554,0.11,0.12,-0.0
1576,0.12,0.11,0.01
1599,0.12,0.12,0.0
1620,0.13,0.12,0.01
1642,0.12,0.12,0.0
1665,0.13,0.11,0.01
1686,0.12,0.12,0.0
1708,0.12,0.12,0.0
1730,0.13,0.11,0.01
1752,0.12,0.12,0.0
1773,0.13,0.12,0.01
1796,0.12,0.12,0.0
1817,0.12,0.12,0.0
1839,0.13,0.11,0.01
1861,0.12,0.12,0.0
1883,0.12,0.12,0.0
1904,0.13,0.11,0.02
1927,0.12,0.12,0.0
1948,0.12,0.12,0.0
1970,0.12,0.11,0.01
1992,0.12,0.11,0.01
2014,0.12,0.13,-0.01
2036,0.12,0.11,0.01
2059,0.12,0.12,0.0
2080,0.12,0.12,0.0
2102,0.13,0.11,0.01
2124,0.11,0.12,-0.0
2147,0.12,0.1,0.02
2168,0.13,0.13,0.0
2191,0.12,0.11,0.01
2212,0.13,0.12,0.01
2234,0.13,0.12,0.0
2256,0.13,0.12,0.01
2278,0.12,0.13,-0.01
2300,0.12,0.1,0.02
2323,0.12,0.11,0.01
2344,0.12,0.12,-0.0
2367,0.12,0.12,0.0
2390,0.13,0.12,0.0
2411,0.13,0.12,0.0
2433,0.13,0.12,0.01
2455,0.13,0.11,0.01
2477,0.12,0.12,0.0
2498,0.14,0.11,0.02
2521,0.13,0.12,0.01
2542,0.12,0.12,0.0
2564,0.13,0.12,0.0
2586,0.11,0.12,-0.0
2609,0.12,0.12,0.0
2630,0.12,0.12,0.0
2653,0.13,0.12,0.01
2674,0.11,0.11,0.0
2696,0.13,0.11,0.01
2718,0.12,0.11,0.01
2740,0.12,0.11,0.01
2761,0.11,0.11,0.0
2784,0.13,0.11,0.02
2805,0.13,0.12,0.01
